
2024/09/22 (13:27:46) | ===> btop++ v.1.3.2
2024/09/22 (13:27:46) | INFO: Logger set to INFO
2024/09/22 (13:27:46) | INFO: Logger set to DEBUG
2024/09/22 (13:27:49) | INFO: Logger set to INFO
2024/09/22 (13:27:49) | INFO: Logger set to DEBUG
2024/09/22 (13:27:51) | INFO: Logger set to INFO
2024/09/22 (13:27:51) | INFO: Logger set to DEBUG

2024/09/28 (23:47:25) | ===> btop++ v.1.3.2
2024/09/28 (23:47:25) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/10/09 (20:49:58) | ===> btop++ v.1.3.2
2024/10/09 (20:49:58) | ERROR: Stall in Runner thread, restarting!
2024/10/09 (20:50:04) | ERROR: Stall in Runner thread, restarting!
